nominal;data;curs;cdx
1;10.02.2021;74,1192;ДолларСША
1;09.02.2021;74,2602;ДолларСША
1;06.02.2021;75,1107;ДолларСША
1;05.02.2021;75,7293;ДолларСША
1;04.02.2021;76,0801;ДолларСША
1;03.02.2021;75,9051;ДолларСША
1;02.02.2021;75,5053;ДолларСША
1;30.01.2021;76,2527;ДолларСША
1;29.01.2021;76,1854;ДолларСША
1;28.01.2021;75,04;ДолларСША
1;27.01.2021;75,6354;ДолларСША
1;26.01.2021;74,8569;ДолларСША
1;23.01.2021;74,3615;ДолларСША
1;22.01.2021;73,3694;ДолларСША
1;21.01.2021;73,355;ДолларСША
1;20.01.2021;73,7243;ДолларСША
1;19.01.2021;73,9735;ДолларСША
1;16.01.2021;73,5453;ДолларСША
1;15.01.2021;73,7961;ДолларСША
1;14.01.2021;73,5264;ДолларСША
1;13.01.2021;74,2663;ДолларСША
1;12.01.2021;74,5157;ДолларСША
1;01.01.2021;73,8757;ДолларСША
1;31.12.2020;73,8757;ДолларСША
1;30.12.2020;73,6567;ДолларСША
1;29.12.2020;73,7175;ДолларСША
1;26.12.2020;73,6921;ДолларСША
1;25.12.2020;74,8392;ДолларСША
1;24.12.2020;75,4571;ДолларСША
1;23.12.2020;75,3498;ДолларСША
1;22.12.2020;74,6721;ДолларСША
1;19.12.2020;73,3155;ДолларСША
1;18.12.2020;72,9781;ДолларСША
1;17.12.2020;73,4201;ДолларСША
1;16.12.2020;73,4453;ДолларСША
1;15.12.2020;72,9272;ДолларСША
1;12.12.2020;73,1195;ДолларСША
1;11.12.2020;73,7124;ДолларСША
1;10.12.2020;73,3057;ДолларСША
1;09.12.2020;73,6618;ДолларСША
1;08.12.2020;74,2506;ДолларСША
1;05.12.2020;74,2529;ДолларСША
1;04.12.2020;75,1996;ДолларСША
1;03.12.2020;75,6151;ДолларСША
1;02.12.2020;76,3203;ДолларСША
1;01.12.2020;76,1999;ДолларСША
1;28.11.2020;75,8599;ДолларСША
1;27.11.2020;75,4518;ДолларСША
1;26.11.2020;75,4727;ДолларСША
1;25.11.2020;75,8146;ДолларСША
1;24.11.2020;75,76;ДолларСША
1;21.11.2020;76,012;ДолларСША
1;20.11.2020;76,2627;ДолларСША
1;19.11.2020;75,9268;ДолларСША
1;18.11.2020;76,253;ДолларСША
1;17.11.2020;76,9197;ДолларСША
1;14.11.2020;77,3262;ДолларСША
1;13.11.2020;77,1148;ДолларСША
1;12.11.2020;76,2075;ДолларСША
1;11.11.2020;76,3978;ДолларСША
1;10.11.2020;76,9515;ДолларСША
1;07.11.2020;77,1875;ДолларСША
1;06.11.2020;78,4559;ДолларСША
1;04.11.2020;80,0006;ДолларСША
1;03.11.2020;80,5749;ДолларСША
1;31.10.2020;79,3323;ДолларСША
1;30.10.2020;78,8699;ДолларСША
1;29.10.2020;77,552;ДолларСША
1;28.10.2020;76,4556;ДолларСША
1;27.10.2020;76,4443;ДолларСША
1;24.10.2020;76,4667;ДолларСША
1;23.10.2020;77,0809;ДолларСША
1;22.10.2020;77,0322;ДолларСША
1;21.10.2020;77,778;ДолларСША
1;20.10.2020;77,9241;ДолларСША
1;17.10.2020;77,9644;ДолларСША
1;16.10.2020;77,9461;ДолларСША
1;15.10.2020;77,2759;ДолларСША
1;14.10.2020;77,2855;ДолларСША
1;13.10.2020;77,0239;ДолларСША
1;10.10.2020;77,0284;ДолларСША
1;09.10.2020;77,9157;ДолларСША
1;08.10.2020;78,0921;ДолларСША
1;07.10.2020;78,5119;ДолларСША
1;06.10.2020;78,1281;ДолларСША
1;03.10.2020;78,0915;ДолларСША
1;02.10.2020;77,2774;ДолларСША
1;01.10.2020;78,7847;ДолларСША
1;30.09.2020;79,6845;ДолларСША
1;29.09.2020;78,6713;ДолларСША
1;26.09.2020;76,8195;ДолларСША
1;25.09.2020;77,178;ДолларСША
1;24.09.2020;76,3545;ДолларСША
1;23.09.2020;76,2711;ДолларСША
1;22.09.2020;76,0381;ДолларСША
1;19.09.2020;75,0319;ДолларСША
1;18.09.2020;75,1941;ДолларСША
1;17.09.2020;74,9278;ДолларСША
1;16.09.2020;75,1884;ДолларСША
1;15.09.2020;74,7148;ДолларСША
1;12.09.2020;74,8896;ДолларСША
1;11.09.2020;75,5274;ДолларСША
1;10.09.2020;76,0713;ДолларСША
1;09.09.2020;75,9645;ДолларСША
1;08.09.2020;75,591;ДолларСША
1;05.09.2020;75,1823;ДолларСША
1;04.09.2020;75,468;ДолларСША
1;03.09.2020;73,8588;ДолларСША
1;02.09.2020;73,5849;ДолларСША
1;01.09.2020;73,8039;ДолларСША
1;29.08.2020;74,6382;ДолларСША
1;28.08.2020;75,2354;ДолларСША
1;27.08.2020;75,5379;ДолларСША
1;26.08.2020;74,5126;ДолларСША
1;25.08.2020;74,4184;ДолларСША
1;22.08.2020;74,0999;ДолларСША
1;21.08.2020;73,7711;ДолларСША
1;20.08.2020;73,2392;ДолларСША
1;19.08.2020;73,4321;ДолларСША
1;18.08.2020;72,9676;ДолларСША
1;15.08.2020;73,2157;ДолларСША
1;14.08.2020;73,6067;ДолларСША
1;13.08.2020;73,2351;ДолларСША
1;12.08.2020;73,1522;ДолларСША
1;11.08.2020;73,775;ДолларСША
1;08.08.2020;73,6376;ДолларСША
1;07.08.2020;73,0397;ДолларСША
1;06.08.2020;73,2806;ДолларСША
1;05.08.2020;73,3806;ДолларСША
1;04.08.2020;74,1586;ДолларСША
1;01.08.2020;73,4261;ДолларСША
1;31.07.2020;73,3633;ДолларСША
1;30.07.2020;72,2348;ДолларСША
1;29.07.2020;71,9196;ДолларСША
1;28.07.2020;71,585;ДолларСША
1;25.07.2020;71,5974;ДолларСША
1;24.07.2020;70,963;ДолларСША
1;23.07.2020;70,7881;ДолларСША
1;22.07.2020;70,9668;ДолларСША
1;21.07.2020;71,9628;ДолларСША
